Short name;Official name;ISO3;ISO2;UNI;UNDP;FAOSTAT;GAUL
Австралия ;Австралия;AUS;AU;36;AUS;10;17
Австрия ;Австрийская Республика;AUT;AT;40;AUT;11;18
Азербайджан ;Азербайджанская Республика;AZE;AZ;31;AZE;52;19
Албания ;Республика Албания;ALB;AL;8;ALB;3;3
Алжир ;Алжирская Народная Демократическая Республика;DZA;DZ;12;DZA;4;4
Ангола ;Республика Ангола;AGO;AO;24;AGO;7;8
Андорра ;Княжество Андорра;AND;AD;20;AND;6;7
Антигуа и Барбуда ;Антигуа и Барбуда;ATG;AG;28;ATG;8;11
Афганистан ;Исламская Республика Афганистан;AFG;AF;4;AFG;2;1
Аргентина ;Аргентинская Республика;ARG;AR;32;ARG;9;12
Армения ;Республика Армения;ARM;AM;51;ARM;1;13
Намибия ;Республика Намибия;NAM;NA;516;NAM;147;172
Науру ;Республика Науру;NRU;NR;520;NRU;148;173
Непал ;Федеративная Демократическая Республика Непал;NPL;NP;524;NPL;149;175
Нигер ;Республика Нигер;NER;NE;562;NER;158;181
Нигерия ;Федеративная Республика Нигерия;NGA;NG;566;NGA;159;182
Нидерланды ;Королевство Нидерландов;NLD;NL;528;NLD;150;177
Никарагуа ;Республика Никарагуа;NIC;NI;558;NIC;157;180
Ниуэ ;Ниуэ;NIU;NU;570;NIU;160;183
Новая Зеландия ;Новая Зеландия;NZL;NZ;554;NZL;156;179
Норвегия ;Королевство Норвегия;NOR;NO;578;NOR;162;186
Республика Молдова ;Республика Молдова;MDA;MD;498;MDA;146;165
Республика Корея ;Республика Корея;KOR;KR;410;KOR;117;202
Российская Федерация ;Российская Федерация;RUS;RU;643;RUS;185;204
Руанда ;Республика Руанда;RWA;RW;646;RWA;184;205
Румыния ;Румыния;ROU;RO;642;ROU;183;203
Сальвадор ;Республика Эль-Сальвадор;SLV;SV;222;SLV;60;75
Самоа ;Независимое Государство Самоа;WSM;WS;882;WSM;244;212
Сан-Томе и Принсипи ;Демократическая Республика Сан-Томе и Принсипи;STP;ST;678;STP;193;214
Сан-Марино ;Республика Сан-Марино;SMR;SM;674;SMR;192;213
Саудовская Аравия ;Королевство Саудовская Аравия;SAU;SA;682;SAU;194;215
Северная Македония  ;Республика Северная Македония ;MKD;MK;807;MKD;154;241
Сейшельские Острова ;Республика Сейшельские Острова;SYC;SC;690;SYC;196;220
Сенегал ;Республика Сенегал;SEN;SN;686;SEN;195;217
Сент-Китс и Невис ;Сент-Китс и Невис;KNA;KN;659;KNA;188;208
Сент-Винсент и Гренадины ;Сент-Винсент и Гренадины;VCT;VC;670;VCT;191;211
Сент-Люсия ;Сент-Люсия;LCA;LC;662;LCA;189;209
Сербия ;Республика Сербия;SRB;RS;688;SRB;272;2648
Сингапур ;Республика Сингапур;SGP;SG;702;SGP;200;222
Сирийская Арабская Республика ;Сирийская Арабская Республика;SYR;SY;760;SYR;212;238
Словакия ;Словацкая Республика;SVK;SK;703;SVK;199;223
Словения ;Республика Словения;SVN;SI;705;SVN;198;224
Соединенное Королевство Великобритании и Северной Ирландии ;Соединенное Королевство Великобритании и Северной Ирландии;GBR;GB;826;GBR;229;256
Соединенные Штаты Америки ;Соединенные Штаты Америки;USA;US;840;USA;231;259
Соломоновы Острова ;Соломоновы Острова;SLB;SB;90;SLB;25;225
Сомали ;Федеративная Республика Сомали;SOM;SO;706;SOM;201;226
Сьерра-Леоне ;Республика Сьерра-Леоне;SLE;SL;694;SLE;197;221
Судан ;Республика Судан;SDN;SD;736;SDN;276;40764
Суринам ;Республика Суринам;SUR;SR;740;SUR;207;233
Таджикистан ;Республика Таджикистан;TJK;TJ;762;TJK;208;239
Таиланд ;Королевство Таиланд;THA;TH;764;THA;216;240
Тимор-Лешти ;Демократическая Республика Тимор-Лешти;TLS;TL;626;TLS;176;242
Того ;Тоголезская Республика;TGO;TG;768;TGO;217;243
Токелау  ;Токелау;TKL;TK;772;TKL;218;244
Тонга ;Королевство Тонга;TON;TO;776;TON;219;245
Тувалу ;Тувалу;TUV;TV;798;TUV;227;252
Тунис ;Тунисская Республика;TUN;TN;788;TUN;222;248
Туркменистан ;Туркменистан;TKM;TM;795;TKM;213;250
Турция ;Турецкая Республика;TUR;TR;792;TUR;223;249
Тринидад и Тобаго ;Республика Тринидад и Тобаго;TTO;TT;780;TTO;220;246
Уганда ;Республика Уганда;UGA;UG;800;UGA;226;253
Узбекистан ;Республика Узбекистан;UZB;UZ;860;UZB;235;261
Украина ;Украина;UKR;UA;804;UKR;230;254
Уругвай ;Восточная Республика Уругвай;URY;UY;858;URY;234;260
Фарерские острова  ;Фарерские острова ;FRO;FO;234;FRO;64;82
Фиджи ;Республика Фиджи;FJI;FJ;242;FJI;66;83
Филиппины ;Республика Филиппины;PHL;PH;608;PHL;171;196
Финляндия ;Финляндская Республика;FIN;FI;246;FIN;67;84
Франция ;Французская Республика;FRA;FR;250;FRA;68;85
Хорватия ;Республика Хорватия;HRV;HR;191;HRV;98;62
Центральноафриканская Республика ;Центральноафриканская Республика;CAF;CF;140;CAF;37;49
Чад ;Республика Чад;TCD;TD;148;TCD;39;50
Чехия ;Чешская Республика;CZE;CZ;203;CZE;167;65
Черногория ;Черногория;MNE;ME;499;MNE;273;2647
Чили ;Республика Чили;CHL;CL;152;CHL;40;51
Швейцария ;Швейцарская Конфедерация;CHE;CH;756;CHE;211;237
Швеция ;Королевство Швеция;SWE;SE;752;SWE;210;236
Шри-Ланка ;Демократическая Социалистическая Республика Шри-Ланка;LKA;LK;144;LKA;38;231
Эквадор ;Республика Эквадор;ECU;EC;218;ECU;58;73
Экваториальная Гвинея ;Республика Экваториальная Гвинея;GNQ;GQ;226;GNQ;61;76
Эсватини ;Королевство Эсватини;SWZ;SZ;748;SWZ;209;235
Эстония ;Эстонская Республика;EST;EE;233;EST;63;78
Эфиопия ;Федеративная Демократическая Республика Эфиопия;ETH;ET;231;ETH;238;79
Эритрея ;Государство Эритрея;ERI;ER;232;ERI;178;77
Южная Африка ;Южно-Африканская Республика;ZAF;ZA;710;ZAF;202;227
Южный Судан ;Республика Южный Судан;SSD;SS;728;SSD;277;74
Ямайка ;Ямайка;JAM;JM;388;JAM;109;123
Япония ;Япония;JPN;JP;392;JPN;110;126
Маврикий ;Республика Маврикий;MUS;MU;480;MUS;137;160
Мавритания ;Исламская Республика Мавритания;MRT;MR;478;MRT;136;159
Мадагаскар ;Республика Мадагаскар;MDG;MG;450;MDG;129;150
Малави ;Республика Малави;MWI;MW;454;MWI;130;152
Малайзия ;Малайзия;MYS;MY;458;MYS;131;153
Мали ;Республика Мали;MLI;ML;466;MLI;133;155
Мальдивские Острова ;Мальдивская Республика;MDV;MV;462;MDV;132;154
Мальта ;Республика Мальта;MLT;MT;470;MLT;134;156
Марокко ;Королевство Марокко;MAR;MA;504;MAR;143;169
Маршалловы Острова ;Республика Маршалловы Острова;MHL;MH;584;MHL;127;157
Мексика ;Мексиканские Соединенные Штаты;MEX;MX;484;MEX;138;162
Микронезия (Федеративные Штаты) ;Федеративные Штаты Микронезии;FSM;FM;583;FSM;145;163
Мозамбик ;Республика Мозамбик;MOZ;MZ;508;MOZ;144;170
Монако ;Княжество Монако;MCO;MC;492;MCO;140;166
Монголия ;Монголия;MNG;MN;496;MNG;141;167
